WELLTAP_144970            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144971            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144972            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144973            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145018            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145019            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145020            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145021            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145022            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145066            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145067            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145068            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145069            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_251               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_252               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_253               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_254               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_255               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_298               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_299               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_300               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_301               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_302               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_347               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_348               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_349               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_350               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_351               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_394               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_395               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_396               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_397               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_398               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_443               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_444               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_445               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_446               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_447               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_490               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_491               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_492               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_493               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_494               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_539               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_540               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_541               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_542               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_543               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_586               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_587               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_588               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_589               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_590               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_635               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_636               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_637               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_638               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_639               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_682               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_683               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_684               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_685               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_686               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144639            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144640            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144641            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144642            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144643            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144686            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144687            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144688            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144689            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144690            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144735            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144736            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144737            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144738            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144739            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144782            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144783            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144784            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144785            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144786            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144831            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144832            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144833            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144834            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144835            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144878            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144879            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144880            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144881            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144882            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144927            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144928            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144929            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144930            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144931            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144974            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144975            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144976            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144977            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144978            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145023            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145024            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145025            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145026            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145027            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145070            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145071            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145072            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145073            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145074            | TAPCELLBWP30P140          | Physically Disconnected
ENDCAP_15429              | BOUNDARY_RIGHTBWP30P140   | Physically Disconnected
ENDCAP_15431              | BOUNDARY_RIGHTBWP30P140   | Physically Disconnected
ENDCAP_15433              | BOUNDARY_RIGHTBWP30P140   | Physically Disconnected
ENDCAP_15435              | BOUNDARY_RIGHTBWP30P140   | Physically Disconnected
ENDCAP_15437              | BOUNDARY_RIGHTBWP30P140   | Physically Disconnected
ENDCAP_15439              | BOUNDARY_RIGHTBWP30P140   | Physically Disconnected
